factor,months,mean_percent,std_percent,t_statistic
MKT,204,0.6926306157908702,8.07156824237915,1.2256284829799275
SMB,204,0.9530560890236797,4.49202365447334,3.0303410541356786
VMG,204,0.9634879983485491,4.093609725243542,3.3616690616772567
