dependent,months,mean_percent,alpha_percent,alpha_t,loading_MKT,t_MKT,loading_SMB,t_SMB,loading_VMG,t_VMG,benchmark_model,paper_alpha_percent,paper_alpha_t,loading_FFSMB,t_FFSMB,loading_FFHML,t_FFHML
FFSMB,204,0.5892895030055629,-0.05311992322011329,-0.8295391697202629,-0.0013271874847270784,-0.14883545508670482,0.9477286749347813,36.02480967383383,-0.26975936173977894,-10.656426929283775,CH-3,-0.04,-0.66,,,,
FFHML,204,0.8736047314487858,0.5393290757391306,1.586079039349894,0.07689205422390477,1.5540108338158811,-0.06674920092397363,-0.5447511581907947,0.3576937105723154,2.7015986979185675,CH-3,0.34,0.97,,,,
SMB,204,0.9530560890236797,0.4650911150071048,6.874615328134194,-0.017403421474040878,-1.4758243031064657,,,,,FF-3,0.47,7.03,0.8637512722726122,39.405673429279155,-0.010279753629596084,-0.4523513469730274
VMG,204,0.9634879983485491,1.2083285067191478,6.693819897925337,-0.08353184891041579,-2.9381996570584974,,,,,FF-3,1.39,7.93,-0.5414808530961321,-11.80679921617954,0.15121849233501472,3.100359570715287
