month,market_return,FFSMB,FFHML,RF,annual_deposit_rate_percent,MKT
2000-01-31,0.14554546063035464,0.001971823937224948,-0.12768129505618642,0.001855937535336194,2.25,0.14368952309501845
2000-02-29,0.12015324234070433,0.018846355768490322,-0.04711427923743203,0.001855937535336194,2.25,0.11829730480536814
2000-03-31,0.04748885067445991,0.05884166837108214,0.06631029189174323,0.001855937535336194,2.25,0.04563291313912372
2000-04-30,0.017883242821598463,-0.014611187202897242,0.05109053126974876,0.001855937535336194,2.25,0.01602730528626227
2000-05-31,0.023498953190654575,0.017720817921552137,0.02492013428166996,0.001855937535336194,2.25,0.02164301565531838
2000-06-30,0.02500888445288735,0.0026604679342940724,0.0768298376742516,0.001855937535336194,2.25,0.023152946917551157
2000-07-31,0.04451554111126353,0.010142743995604116,0.05750141554160133,0.001855937535336194,2.25,0.04265960357592734
2000-08-31,-0.015051390120665666,0.01640050234623926,-0.01922976906595297,0.001855937535336194,2.25,-0.01690732765600186
2000-09-30,-0.05296999624505772,0.010864538544327812,-0.03432351055946489,0.001855937535336194,2.25,-0.054825933780393916
2000-10-31,0.018928611438520693,0.024570673675077565,0.031133912609566838,0.001855937535336194,2.25,0.0170726739031845
2000-11-30,0.05816202182719976,0.01166171190316205,0.016606674147101104,0.001855937535336194,2.25,0.05630608429186357
2000-12-31,-0.006215863829992428,0.019038106184184667,0.006491967347718252,0.001855937535336194,2.25,-0.008071801365328621
2001-01-31,-0.00977460138109211,0.0018184450844804991,0.059727189639504755,0.001855937535336194,2.25,-0.011630538916428304
2001-02-28,-0.057779142784443946,-0.004678564391340373,0.028712596957599805,0.001855937535336194,2.25,-0.05963508031978014
2001-03-31,0.06876652613046927,0.013614670704782908,-0.0001217129056714783,0.001855937535336194,2.25,0.06691058859513307
2001-04-30,-0.010291796108307912,0.011472228554026888,-0.03882154141584508,0.001855937535336194,2.25,-0.012147733643644106
2001-05-31,0.029653832049509627,0.0253502364688797,-0.02514965930614778,0.001855937535336194,2.25,0.027797894514173433
2001-06-30,0.00399661571235999,0.013245717554852956,0.03656945576455144,0.001855937535336194,2.25,0.002140678177023796
2001-07-31,-0.1313078631228157,-0.009675910667165527,-0.011489804877158005,0.001855937535336194,2.25,-0.1331638006581519
2001-08-31,-0.0380587485459434,-0.0013671530868000076,-0.002867322727876598,0.001855937535336194,2.25,-0.03991468608127959
2001-09-30,-0.04445039535460248,-0.013056113083151945,0.026620014272244676,0.001855937535336194,2.25,-0.04630633288993868
2001-10-31,-0.044634727716464234,-0.016979201866633077,0.030477264163755152,0.001855937535336194,2.25,-0.04649066525180043
2001-11-30,0.03745789633736767,0.0194662147962412,0.025824674348420548,0.001855937535336194,2.25,0.03560195880203148
2001-12-31,-0.06097787561214211,-0.020155527866389265,0.016487514648745233,0.001855937535336194,2.25,-0.0628338131474783
2002-01-31,-0.09769706306640356,-0.047553833461372555,-0.004508727870749671,0.001855937535336194,2.25,-0.09955300060173976
2002-02-28,0.023899497876637664,0.021455730901621627,0.02137523830886793,0.001635212974954614,1.98,0.02226428490168305
2002-03-31,0.056556979046080036,0.034145677663019056,-0.00443012029628459,0.001635212974954614,1.98,0.05492176607112542
2002-04-30,0.04255758287923921,0.010208519081773886,0.02024651387818846,0.001635212974954614,1.98,0.0409223699042846
2002-05-31,-0.08521377709763722,-0.010647729000116263,0.0006413763378830262,0.001635212974954614,1.98,-0.08684899007259184
2002-06-30,0.14431110467015953,-0.02780026448675464,0.07467217071982046,0.001635212974954614,1.98,0.14267589169520492
