month,BH,BL,BM,SH,SL,SM
2000-01-31,0.07830329967438568,0.20749798787203363,0.1440294821067583,0.08294326414662376,0.20911116606134866,0.14369181125687994
2000-02-29,0.07467132324548102,0.15275484813461776,0.10947785941105423,0.12457917453646894,0.14072420812219624,0.1281397154379588
2000-03-31,0.08674117001588673,-0.013881830286923885,0.03369800413409933,0.11342795734597164,0.08143037386529581,0.08822401776504114
2000-04-30,0.04551721602515025,-0.015385687380533811,0.03692892685624639,0.025498165442857972,-0.015779993690955486,0.013508722140268617
2000-05-31,0.0302472051264313,0.0022411093981497257,0.025458538169638414,0.04833914955486343,0.02650497671980508,0.03626518018420734
2000-06-30,0.06275429873000908,-0.018958813172336306,0.031161210554992245,0.06393604760472237,-0.008010515841435431,0.0270125681522603
2000-07-31,0.07935562858618551,0.010757055838662523,0.03570254379671092,0.0789809574582925,0.032576699122612844,0.044685803627465964
2000-08-31,-0.03116972551519548,-0.013967839540710444,-0.013659864201082804,-0.013369850913875485,0.007887801243545422,-0.004113872547940886
2000-09-30,-0.07750143569796332,-0.028697259287509543,-0.062490901751117225,-0.06138756708391433,-0.04154472237543833,-0.033163691644254006
2000-10-31,0.026828393926805017,-0.011040186530720133,0.019115187671946664,0.046211031537372764,0.02181178677576424,0.040592597780127256
2000-11-30,0.05804990904234682,0.03784904988809196,0.06714848349996032,0.0735133215287048,0.06050083238875746,0.06401842422242297
2000-12-31,-0.013768812598765709,-0.017354947582935695,-0.00490511191001207,0.01187057284564999,0.0024727731343834724,0.006742100480807067
2001-01-31,0.02255717265126435,-0.043063383325601196,-0.011181124963208205,0.0179744522430292,-0.03585937105911478,-0.008347081568017977
2001-02-28,-0.03424460938235845,-0.07319354866735364,-0.06287665120082064,-0.05209822934307889,-0.07057448397328331,-0.061677789108191654
2001-03-31,0.06301490124740254,0.06412882867640585,0.06695161636780028,0.07967022400624832,0.07879972238858794,0.07646941201112115
2001-04-30,-0.029826705540394804,0.010212862559621299,-0.017282772105285515,-0.01621032917952964,0.02139318555214442,-0.007662785796593137
2001-05-31,0.006208917375404947,0.035708168090879025,0.02522881627900625,0.03704346210458075,0.05784353000140223,0.048309619045946335
2001-06-30,0.023226382689641074,-0.024241003691892422,0.00026644518837989044,0.030114296798541922,0.004442771650972539,0.004431908401172948
2001-07-31,-0.1355021779789913,-0.12291411422346592,-0.12634256136055907,-0.14287270765361623,-0.1324811616548256,-0.138432716256071
2001-08-31,-0.04173935941027451,-0.040601412952916936,-0.03102269747732764,-0.040063035080279356,-0.03546633608188375,-0.04193555793875599
2001-09-30,-0.024136252457122826,-0.06031351508118869,-0.03967507489391835,-0.04602993381033424,-0.06309269973075772,-0.05417054814059372
2001-10-31,-0.028662392803999612,-0.05845484316999994,-0.0354577497481108,-0.043742746020814474,-0.07490482398232447,-0.05486502131887064
2001-11-30,0.04215287440027629,0.01183962763277901,0.038566313666692525,0.05921816366798781,0.037882061738643995,0.05385723468183963
2001-12-31,-0.05078846354107065,-0.06286897914824677,-0.05380822360557386,-0.07190214425739837,-0.0927966579477127,-0.06323344768894801
2002-01-31,-0.078511663509822,-0.08026219125388444,-0.09261633186729265,-0.14118877066284957,-0.13042078717728778,-0.12244212917497936
2002-02-28,0.026128547397917368,0.004480245651995934,0.022339038395251563,0.0513730338945405,0.03027085902272609,0.03567113123276315
2002-03-31,0.03250019243586709,0.04171726752018935,0.0681095353552966,0.080742508471152,0.08038567397939891,0.08363584584985928
2002-04-30,0.04503688729074271,0.026271728821872665,0.04555232988634923,0.06272360280376797,0.0409957335162611,0.04376716692425716
2002-05-31,-0.07541820671939103,-0.07812204124805949,-0.09233049390692136,-0.09047834942891013,-0.08905726757600774,-0.09827831186980282
2002-06-30,0.19751891991056977,0.10351812512410784,0.14223446441191526,0.14474823254697905,0.08940468589380005,0.12571779754554988
2002-07-31,-0.06409392149543675,-0.01650691402303525,-0.04790048532814955,-0.03406082168849941,-0.0371596686868857,-0.0423820260225669
2002-08-31,0.019197838694918534,0.0029091760819952993,0.007869354729623385,0.0018076181735571682,0.0033403668440158893,0.007787633154610658
2002-09-30,-0.05538836507762172,-0.04449714402357527,-0.04594960204953325,-0.06411598404536407,-0.06071048488116591,-0.053784462979228675
2002-10-31,-0.04981074585414961,-0.03762011433234328,-0.046178651248712316,-0.05216855285270351,-0.056550542288967935,-0.06051849033922157
2002-11-30,-0.030671702752207305,-0.05473338895074653,-0.05085816604010958,-0.07733558559851454,-0.07858082660615473,-0.08740700847921365
2002-12-31,-0.05676755254297996,-0.04168858210585316,-0.05348540475586326,-0.0595382999579334,-0.04221210884344558,-0.05732524035081194
2003-01-31,0.12734664801126536,0.04904464974763727,0.09880613072972058,0.10901767869795753,0.07708614196112838,0.11260257140054884
2003-02-28,0.010242066000914936,0.002538343555811101,0.0010298500613870343,0.014808765852208677,0.014260553623154655,0.016512453436266724
2003-03-31,0.018108478228353552,-0.002323586223715395,0.005504054492671856,-0.025816278206940248,-0.034126769603937235,-0.02908478281883081
2003-04-30,0.026285510200286022,0.01855506745175266,0.023447210874213618,-0.03413108142538863,-0.04419803867124891,-0.04432207996002831
2003-05-31,0.04253418257777175,0.03241261651820147,0.05740877776010308,0.04509152250679559,0.028547174194754284,0.040784561525788576
2003-06-30,-0.033692065943474896,-0.07373843057508463,-0.06336126165730353,-0.07651176725602434,-0.059029083856192335,-0.07366268866352554
2003-07-31,0.004367510871775828,-0.017257726272549935,0.012052450870002413,-0.03648821242490379,-0.025824960594347877,-0.03876861041053307
2003-08-31,-0.036612266376408985,-0.040613915025209335,-0.038302480193577154,-0.02325336544715238,-0.03045645965133691,-0.028553568734751397
2003-09-30,-0.03851844189652391,-0.04698326152065376,-0.042632264954205835,-0.03906549803445627,-0.042577761138427275,-0.043149004793120914
2003-10-31,0.04701870076833061,-0.041605850056426065,-0.004364580613859939,-0.05685190848528414,-0.08851902342933789,-0.06726813824763551
2003-11-30,0.055858853067653466,-0.005359721386178399,0.03917748960308954,0.043630486478930613,-0.004889387654887613,0.03538675326084949
2003-12-31,0.045909177569575556,0.025108435528700162,0.13343676876664884,-0.016067041861919717,-0.030090449403406626,-0.0092598040793062
2004-01-31,0.10138521577251557,0.044366552671145726,0.04221812586892026,0.0943532035836728,0.08176908132315243,0.10986721162025577
2004-02-29,0.0924854316120171,0.050374716434218786,0.04591021331902158,0.09928857959096773,0.09423461013322383,0.0966766759115604
2004-03-31,0.032686247247893395,0.0143293813757419,0.05256060749119407,0.05023854883566542,0.022266728167775803,0.05784284951244099
2004-04-30,-0.10001523128878204,-0.1099312057393318,-0.07602925413877189,-0.10312078424563247,-0.10962136236969708,-0.07646420664204456
2004-05-31,-0.01814610345157312,-0.023976958115206906,-0.03150830757402121,-0.018090107906806402,-0.015865569936927722,-0.0153867250881587
2004-06-30,-0.0830253833758542,-0.10976020826969386,-0.08200196469923508,-0.12437916114993042,-0.14526842981369983,-0.13212379774816302
2004-07-31,-0.00902584146656855,0.00330433588252244,-0.001311279917605058,-0.015548283486930764,-0.02341345430562596,-0.0028978291584093414
2004-08-31,-0.01347632869523405,-0.06046598706003526,-0.014946629961204697,-0.038779808253513424,-0.0655354927018078,-0.05128612482506103
2004-09-30,0.042805334043112785,0.0612799231742337,0.03823578857806066,0.0493375237962985,0.03715273595011398,0.053431377926509815
