month,BG,BM,BV,SG,SM,SV
2000-01-31,0.1201803180526405,0.1890700938034512,0.1247021232668228,0.1521121569486898,0.13333142880703325,0.1357286120023365
2000-02-29,0.17573055311991395,0.10026907111523815,0.08473733971131073,0.15664990582703922,0.1285849004247861,0.10075584281641543
2000-03-31,0.03718949167951557,0.0061849211889066155,0.049954480331104924,0.11031078763518536,0.09289295851897857,0.08317838087659774
2000-04-30,0.024028293087085675,0.004617429495327747,0.036267417130198217,-0.006126345122549192,0.007687019798908253,0.0317093999514635
2000-05-31,-0.011384008995985729,0.020354069374598206,0.04222951548406361,0.05033733488032735,0.030383452836837712,0.03293468231255669
2000-06-30,-0.011066313123822065,0.004423137535727478,0.07347688941928571,0.005225764875290499,0.02606663537688603,0.06369909878380486
2000-07-31,0.03290583281982692,0.03726407092293416,0.051901644874841404,0.05128719966845139,0.0436717806235129,0.07051038056538779
2000-08-31,-0.0027532811319421514,-0.02106473265100917,-0.029639376121793487,0.021549607649559925,-0.012935701787061776,-0.01979046958269483
2000-09-30,-0.05537145548095911,-0.0452797419713082,-0.06726695115740082,-0.03480929002429482,-0.04897927222004837,-0.04660941101996062
2000-10-31,0.007189589036347876,0.005821288029082452,0.019662439692913373,0.047462284477547446,0.0320128993575027,0.031411772688596816
2000-11-30,0.04976020816141609,0.05382022667996682,0.05866096765170611,0.05510158984509432,0.06708970204637034,0.08117043962748685
2000-12-31,-0.0156828807926572,-0.011860148290692882,-0.009350971328533929,0.0006036622104721941,0.007230218195294767,0.018494274640863104
2001-01-31,-0.009735555136733203,-0.024045897546188157,0.0009310860638758359,-0.024851457024307702,-0.005471608053699369,0.00900009638975703
2001-02-28,-0.08077379117657088,-0.06283276563859709,-0.038192152236945345,-0.07588481081311285,-0.059384705772171885,-0.043357585858724075
2001-03-31,0.06512215895591979,0.06772296094913476,0.06196749719359125,0.09061424086366808,0.0753106988709105,0.06414940417843934
2001-04-30,0.010470254273333077,-0.013239829203299025,-0.02880016009610811,0.006636315484402927,-0.007180485562021865,-0.005872274626389079
2001-05-31,0.05677752521399635,0.017986209649421436,0.0070596853979481185,0.0597525155425686,0.04715209518684904,0.02893565477742391
2001-06-30,-0.023447586295811517,0.00633734267145234,0.010098411141416004,-0.00573356695797305,0.01723177619215734,0.02722538185065175
2001-07-31,-0.12858948713770788,-0.11802526539985309,-0.13622920675031866,-0.13862487001263318,-0.13796874254311828,-0.13689870111869173
2001-08-31,-0.03045508557727089,-0.04219878965775411,-0.0368477007207917,-0.03446662617137839,-0.043271143469853696,-0.04119464344147884
2001-09-30,-0.06477685636284995,-0.03724373497499259,-0.030838606312229153,-0.07309615346327324,-0.04707588493278647,-0.03545143331555361
2001-10-31,-0.03179503238740867,-0.046309930696754056,-0.03673919793547534,-0.04521546847167319,-0.06747646488221036,-0.059796893728012376
2001-11-30,0.028109774480147048,0.03471519133490568,0.032054148333895645,0.04036221940323039,0.05537281856096808,0.060015022213991256
2001-12-31,-0.08248600145682677,-0.06795559835070368,-0.029889137061693934,-0.10082912461243257,-0.06554785941079228,-0.04393031942890153
2002-01-31,-0.10210662622978203,-0.1036907375618996,-0.05940137357596119,-0.15336891680584086,-0.12984823736964635,-0.09181393819982138
2002-02-28,0.017751779842199857,0.019294907371970354,0.01716239431289639,0.044228446546626464,0.031061396506340953,0.045521253902882135
2002-03-31,0.07184520279630657,0.052047918805676774,0.034877580178483615,0.09253467423066426,0.07688431545926537,0.07205756919149933
2002-04-30,0.06456967604196816,0.04568938990396064,0.02498630457960325,0.06250675252086486,0.043406340770381656,0.03589252627058401
2002-05-31,-0.07007372334010313,-0.0839000609013814,-0.09083342540367471,-0.09046580079294535,-0.09126481964941335,-0.09983239000031516
2002-06-30,0.16149247232373648,0.12939364033645417,0.1656873075511784,0.11641418435295602,0.12243789932091974,0.12281039131771188
2002-07-31,-0.05432583460743946,-0.043820212561386414,-0.04209862900837745,-0.04809390813843478,-0.03604666117993598,-0.02795557861863687
2002-08-31,0.018076691692632426,0.005243783887282043,0.010516675350769781,-0.0020057391734668133,0.0045325144222368025,0.01502664874139863
2002-09-30,-0.05118844208110415,-0.04930664330067807,-0.04893989520528959,-0.06700283099460012,-0.05424596940935734,-0.0573551817363264
2002-10-31,-0.03288722734192695,-0.046003851880201306,-0.05027418297843227,-0.05930860826503898,-0.057348974170182324,-0.04922089319521356
2002-11-30,-0.07363093622987904,-0.04650586908150769,-0.03107956272655114,-0.08701694572106708,-0.08503850348153455,-0.07332214632006719
2002-12-31,-0.06118142636897106,-0.043330939100513194,-0.05219979492392197,-0.051176279084136855,-0.06126821959047192,-0.041411278092914866
2003-01-31,0.07473354616195468,0.07630620792434438,0.10999642281932932,0.09550843628964656,0.10981367264223627,0.09833381608502811
2003-02-28,0.011844994335573109,0.002687181637741162,0.004437698688466222,0.015395026060800001,0.013597156485690945,0.01755181327841552
2003-03-31,-0.025578794259094238,-0.010001573444625697,0.03126766482506026,-0.03497151795197164,-0.03552660176207443,-0.011181512416944579
2003-04-30,-0.041577293867541686,0.008919750470770437,0.054187874430508196,-0.06530928152820283,-0.03584235321521627,-0.011423052231971416
2003-05-31,0.03895527974925501,0.0521432702081763,0.04106068094334578,0.03377589088500552,0.03709716469623721,0.05426553598349581
2003-06-30,-0.0961338054928669,-0.06415474009699308,-0.04257827598715243,-0.07641501145027595,-0.06618508631620186,-0.07071850442944616
2003-07-31,-0.0372020287754345,-0.013801949856241016,0.01770090052732304,-0.04302495695707484,-0.029345122127745094,-0.02763210669788383
2003-08-31,-0.01774587744016015,-0.04111905654328253,-0.04256629375110243,-0.024270780832666723,-0.030844962915791235,-0.027987138859083584
2003-09-30,-0.03945415428126832,-0.05250081787274542,-0.038746280279862405,-0.03982091232142622,-0.04081273114144677,-0.04255984515192205
2003-10-31,-0.0755270727674235,-0.053761909082011505,0.04972572331724693,-0.0988396250267924,-0.0646694528036163,-0.02470693963503067
2003-11-30,0.009371715867629898,0.01729544048849344,0.03972634782127688,0.022140881435147603,0.031266369985284634,0.026413571138381806
2003-12-31,-0.010750777469845447,0.03926309049841496,0.12804730928424674,-0.04782999105263883,-0.010901841944523994,0.037658035981720996
2004-01-31,0.0571803965299726,0.0604376022973954,0.04661761825556615,0.0892669296066032,0.10592502096487197,0.09654936486434897
2004-02-29,0.09170398870782857,0.04767070397559266,0.04773161543714471,0.11185964605665295,0.09067465009154235,0.0829207331940982
2004-03-31,0.002692578002856701,0.01697819765258452,0.05897008119745381,0.048819657329396554,0.0454241229769645,0.045486880156900625
2004-04-30,-0.12514051140743063,-0.09995762195295503,-0.07706036327315942,-0.11434246458050601,-0.09282243073644064,-0.06518448851338142
2004-05-31,-0.018661585258145187,-0.035069269051037515,-0.025433007732119834,-0.009573580381485558,-0.014436772331418645,-0.03082696005086114
2004-06-30,-0.1288657950825282,-0.11759014250117633,-0.07218862427118052,-0.14606365721823142,-0.13528336588896137,-0.09986564283773026
2004-07-31,-0.013413611471865759,0.01812819816216315,-0.006946409743686282,-0.03600918628431908,-0.011696082708724943,0.030880366050622613
2004-08-31,-0.07787267357357709,-0.04538859788852723,-0.010154718409732632,-0.0533837770594436,-0.05518476805124732,-0.03597105745929387
2004-09-30,0.027474987849164693,0.030853912143460387,0.057569782118980055,0.030411762021353667,0.05228567466073213,0.07595140463253257
2004-10-31,-0.061324767740125775,-0.02965451739281355,-0.05843236083548344,-0.08261188237145561,-0.05384260780976312,-0.03528279042199264
2004-11-30,0.026368036978235806,0.01566772431180812,-0.0029659658753354457,0.06916109806794037,0.03990939928546903,0.028224502873664153
2004-12-31,-0.10318156095367138,-0.05864064873803252,-0.03996356048863193,-0.10319153691123926,-0.0829718530567164,-0.056916169608569205
2005-01-31,-0.07498982938677162,-0.07043681158007147,-0.05032634105623859,-0.07582100560385721,-0.08287955959474737,-0.07033791484398721
2005-02-28,0.09266707060145542,0.07626417676388841,0.10336988885763898,0.08711649887267967,0.12087591024829031,0.1284890299410471
2005-03-31,-0.14630511558250828,-0.07956622863281983,-0.0769381138475762,-0.15147885572868341,-0.11791201617151573,-0.120375014826391
2005-04-30,-0.07519341932103428,-0.0025220629998236686,-0.005588084365985228,-0.10305586745921698,-0.05579540748666405,-0.04350331285990808
2005-05-31,-0.04874446373777158,-0.08820784513398419,-0.11095476779977871,-0.013880298477470382,-0.034363612529703595,-0.04598291606975481
2005-06-30,-0.013176938220370703,0.02610796626568705,0.029203548189135082,-0.028206139579193584,0.0033547978053710104,0.029418035205436077
2005-07-31,-0.07095588690341553,-0.008675354339413374,0.05190003308306693,-0.09645235579242396,-0.07561005262994151,-0.04673215005844037
2005-08-31,0.1356126377355538,0.05892172223885294,0.0690644297028866,0.17302794696712054,0.14719869939871108,0.15022445680673194
2005-09-30,-0.015149308365199619,-0.0006417940532358376,-0.011316970698065143,-0.0023715408388342,0.018652128335729167,0.049241184132181995
2005-10-31,-0.05734641734585612,-0.0500737300360734,-0.054999726423099464,-0.07086764359505887,-0.0551461784581718,-0.04848768677926851
2005-11-30,0.023970264434613402,-0.017565225131106144,0.00806156043238019,0.016172312521263537,0.011951795774702659,0.01555521120692923
2005-12-31,0.022889738740571333,0.05247859048986614,0.08802649208232471,0.00354079877460291,0.019303419190931467,0.035735833003050894
2006-01-31,0.10716872810956993,0.09806709709245257,0.08111966342617147,0.07506776422533097,0.09602375899579664,0.09615811208086741
2006-02-28,0.025896891053916772,0.014277007113559727,0.05340830909338238,0.048880509287534915,0.01019223045472928,-0.0005787124094265077
2006-03-31,-0.0035289377085902665,0.02636202298694718,-0.0011328772026180187,-0.01505198204137674,0.009801267806936674,0.0265333058136005
2006-04-30,0.06867521380780114,0.16011679167812695,0.1082223043144461,0.056350794945915474,0.12817542813414162,0.09382732472178373
2006-05-31,0.15034178405992993,0.20708005983008201,0.1146411058429945,0.30631018830435236,0.2518492206360089,0.23383702291958097
2006-06-30,0.0024681711888234503,0.02318989731154905,0.0214399877079036,0.04960286628788588,0.0607317330771838,0.09065256555827836
2006-07-31,-0.0644992981806505,-0.07731164516810056,-0.07172542179186897,-0.00820487680265562,-0.04105524007195931,-0.04276026087292855
2006-08-31,0.05148255293329704,0.03140156542037461,0.04381336430829003,0.017930370258912608,0.03492119851369317,0.03953970874121859
2006-09-30,0.06363901547809796,0.05225765302116337,0.04003458765148114,0.06320372622233718,0.03945289737699846,0.04117130312013564
2006-10-31,-0.056806378071123896,0.013169279974115915,0.08285002425859934,-0.022353280242766577,-0.006679976153564866,0.02391642663041964
2006-11-30,0.07301959662896962,0.16434340815663254,0.18447078719330276,0.03458969347966052,0.023031640983256524,0.053686330146307575
2006-12-31,0.0606896079304833,0.16984264858893436,0.16443773173197324,0.028502303010215137,0.05812423639909139,0.052936423809039526
2007-01-31,0.1653377804110425,0.16746641118362932,0.1713871239607846,0.24605539630143783,0.24896227597041595,0.24679352573890315
2007-02-28,0.18127105911885766,0.023661598536734458,0.0388308180382243,0.23519803964693325,0.17867409065377404,0.18765024186892554
2007-03-31,0.14736991661338766,0.08646588167755778,0.11027098558331164,0.191286290629184,0.17153446805037906,0.15917147764269512
2007-04-30,0.40783526027438904,0.28015981482299335,0.17135814234083072,0.37305139433412243,0.3566390560578316,0.3206122685355363
2007-05-31,0.09645829008385436,0.10829934510706925,0.09531812209137404,0.0910001073026071,0.06179833027177432,0.08782762864030028
2007-06-30,-0.17176173786881485,-0.08774875408474433,-0.06268891779545809,-0.2483220996796012,-0.1592851904184288,-0.10334642081617902
2007-07-31,0.2173105114042827,0.17367079430210125,0.1561516922313072,0.22644041981826551,0.2487271350507482,0.2509234104180297
2007-08-31,0.12763549565515592,0.16527634821267134,0.16129365811054877,0.12570473439314647,0.08463731139203737,0.12000838516812756
2007-09-30,0.010408104463535895,0.035097946817220754,0.07411348032717618,0.033534983708526984,0.028645900634262707,0.06979692662977324
2007-10-31,-0.07556718988119326,0.02020787160795407,0.13635265216482642,-0.13421267737137918,-0.10609497247307842,-0.09814212544111094
2007-11-30,-0.1742994615124699,-0.17807289568559428,-0.13870739705770257,-0.0628103337168289,-0.04806524941564817,-0.06715173551047661
2007-12-31,0.16801933544076061,0.11459942078247987,0.09470551323674496,0.20721785015873334,0.22396603970177711,0.2048193231815159
2008-01-31,-0.10050919265535313,-0.17294148732190612,-0.17623818181817177,-0.07986041780575599,-0.04509430668099247,-0.04756113681523892
2008-02-29,0.028533579746149448,0.011815237486564326,0.017726732639671994,0.10333384383941789,0.09374752828714561,0.09256783346193759
2008-03-31,-0.24223482461994383,-0.17919839028106693,-0.19129221302688673,-0.1903988660066002,-0.19924055979290037,-0.21082875475362362
2008-04-30,-0.008458769187946906,-0.007271321842064352,0.11063246907109185,-0.08490213306945972,-0.04207141686555104,-0.044807996004603085
2008-05-31,0.020115435069653846,-0.07916669093640072,-0.1147318797061063,-0.015552935071448632,-0.02872300736101922,-0.031008416819372647
2008-06-30,-0.240504800771274,-0.21270785693482896,-0.18311504597546155,-0.2697738391062188,-0.2546229988130551,-0.2428922709979049
2008-07-31,0.06202425344215296,0.001820360327390831,0.011741924944166645,0.08948588616837173,0.10391658665931908,0.09458248526834502
2008-08-31,-0.1587528484568158,-0.15643499808187422,-0.09898931328769213,-0.24095996540555592,-0.23009197128708667,-0.21763174517933281
2008-09-30,0.02713308712261129,-0.024492446265101823,-0.09128872316043302,-0.09597015821932142,-0.08796463160712785,-0.07943490294391896
2008-10-31,-0.3086368220773033,-0.2371406052542462,-0.24129108535585592,-0.28208162834547496,-0.25605696770997916,-0.26019564810886575
2008-11-30,0.1066525831361291,0.09428564975177545,0.0775447005038916,0.21816021284376633,0.2144622943476731,0.22423175353868266
2008-12-31,-0.04424291662553296,-0.031778439685753994,-0.026813851467770704,0.041568339986774824,0.07663608741044961,0.07847226694662454
2009-01-31,0.10666757252618325,0.04686687260979069,0.1112645951418853,0.1468679191906561,0.1581289421567088,0.21813011470507734
2009-02-28,0.06734356820650139,0.07347190897626411,0.03045788403104805,0.09541100667892141,0.07246496417227294,0.07101180273219013
2009-03-31,0.15610452207641382,0.14775290099527508,0.12342018826301901,0.22490330741421993,0.21483520755715926,0.24101328135257927
2009-04-30,0.025519182786714233,0.024034537107767356,0.050358929720813114,0.05560964670842814,0.07077438952427174,0.07119297736174131
2009-05-31,0.05964183346335625,0.02984073785470305,0.06768506401516808,0.09287086737578233,0.07067516550629671,0.030460024308932427
2009-06-30,0.10913077891125256,0.10328054489860379,0.17224678909802252,0.046543356857762425,0.0316818209359007,0.05338866451291558
2009-07-31,0.2979110177096515,0.16693217972550078,0.13398790500047508,0.14744715179878318,0.1376052434670042,0.13603112249926902
2009-08-31,-0.25247993418010206,-0.23407743490599117,-0.21324584669634097,-0.1684994445255591,-0.15347803022903672,-0.1173096117666574
2009-09-30,-0.005769706310013666,0.053775185922798896,0.058441011796714605,0.002484243681674139,0.031980355586608084,0.07020171206856161
2009-10-31,0.09123993172272983,0.08678037820239062,0.07337262654502094,0.12111391944929031,0.11561994464620585,0.13571750028732016
2009-11-30,0.1108425615667584,0.08810859672770689,0.04706083435779884,0.15679677788866184,0.16570573269395938,0.17669089171009295
2009-12-31,-0.009185345126638494,-0.01115821694598487,0.03965784750470034,0.028229408159799615,0.03366630247356257,0.04108781545684107
2010-01-31,-0.09337984412751864,-0.0634963561014726,-0.10322562114015936,-0.0389749234587813,-0.011269778715489231,-0.013482200164730304
2010-02-28,0.038972245277590224,0.04129650345375155,0.010184418499144225,0.07416156632309213,0.06120646679715043,0.04816192758885688
2010-03-31,0.012272796931521635,0.009660214724616213,0.018462106118810263,0.03969092234001473,0.03943543937034168,0.03227107756881434
2010-04-30,-0.06816152637629563,-0.06237894045631498,-0.08356199665998516,-0.08021738195463805,-0.04305537726136024,-0.08053645144357824
2010-05-31,-0.08295660621456379,-0.08366443616972544,-0.0844484397980169,-0.09373614026830109,-0.07216821740549469,-0.08530633009924096
2010-06-30,-0.09466614029716813,-0.09714921725981239,-0.05780894489593668,-0.10612039564949972,-0.0957689270289074,-0.08004677341939057
2010-07-31,0.11407695373519999,0.11580043199615202,0.10007936356045129,0.15860260487697897,0.14768790928084635,0.19072745323259988
2010-08-31,0.06449040077972869,0.05285510430244871,-0.01884896896476409,0.08834856599847006,0.09943862415531608,0.09673784124477541
2010-09-30,0.0270624726041541,0.0478792031770817,-0.005006378653751866,0.010720279523038102,-0.00017807067536288121,0.013588066150375822
2010-10-31,0.11469545491403735,0.08109054271813416,0.14260361493949075,0.0839427226989585,0.08915449833520737,0.09178118394876875
2010-11-30,-0.06674580662172576,-0.0065490546796681814,-0.06688119246735866,-0.003418038743766605,0.024092951402946927,-0.00391785159562241
2010-12-31,-0.037766401591508146,-0.013171691268651056,0.0031171242968931067,-0.04664014554788143,-0.023321711959594132,-0.014795176014191306
2011-01-31,-0.06541469123602969,-0.07357644502815072,0.0044268918522367895,-0.06205970702817857,-0.06103178405244232,-0.03031425919417115
2011-02-28,0.10115294713369466,0.060083779864953515,0.02835571200544326,0.1139601101412765,0.09736326436480136,0.09562655436473509
2011-03-31,-0.014482947834728612,-0.04461377940850608,0.01601431242596833,-0.009921667939033907,-0.030372548343251798,-0.003707330743410284
2011-04-30,-0.043042006102188224,-0.03207135243655449,0.00572210309191404,-0.03284447122113424,-0.05018504192676547,-0.043164940802880886
2011-05-31,-0.08370404825496275,-0.07686195886354867,-0.050280944275400655,-0.06882783693432155,-0.07547451358813702,-0.06707373738807372
2011-06-30,0.0223011203252489,0.030763749053427332,0.0213751730093235,0.03247290783996694,0.03490069439261147,0.039114066030553125
2011-07-31,-0.015076848334866562,0.014412780141786869,-0.02708914543646313,0.009459180129226597,0.026162039065808385,0.0065603184503292495
2011-08-31,-0.07033157579774654,-0.043142385714922446,-0.04601881730853391,-0.038391325047418566,-0.022682833340251552,-0.037096741025188666
2011-09-30,-0.11983189712199185,-0.12064676527488237,-0.06687141911666256,-0.1307740272318733,-0.12966509901059675,-0.11029701768282282
2011-10-31,0.03817420697224588,0.04196526276517914,0.05007509189962677,0.030338967024849364,0.05282453666903396,0.037960251790313385
2011-11-30,-0.049892163552724404,-0.041278140476287424,-0.05555546050018532,-0.044008869616803906,-0.027449648677795854,-0.04290201498305468
2011-12-31,-0.15398137771778506,-0.11133594744598553,-0.02780522541024393,-0.19136069849598838,-0.15459150904155558,-0.14042800690820084
2012-01-31,-0.004539152763800416,-0.010031604257207843,0.0547687063876674,-0.011391419270477115,-0.03611501626896711,0.022839815191320105
2012-02-29,0.10487015509596602,0.08608625657730554,0.04609274335442815,0.13082232489344675,0.1358818277660784,0.13558821758420775
2012-03-31,-0.08696523435014991,-0.06910960260772675,-0.059770770082437905,-0.08004760375099373,-0.06320257973502595,-0.08251959964507949
2012-04-30,0.05978725657605532,0.06098112564079474,0.047218056918162735,0.07315391270476168,0.06892526671737226,0.0762216467716578
2012-05-31,0.0030694915381658952,0.034709985811175854,-0.015145411142266682,0.010849267145185158,0.025933852589495883,0.021765142403065655
2012-06-30,-0.09415380003261034,-0.04087558486087879,-0.036428613887676486,-0.08580153429166486,-0.05702815671267445,-0.0498498502437631
2012-07-31,-0.09537725090438781,-0.057066510431635714,-0.040139617803930536,-0.1210658202283,-0.08980176908346377,-0.08272294864107789
2012-08-31,-0.033409265048785594,-0.047235854636578804,-0.025583790954847734,0.03368203838443888,0.0324306594130414,0.014316121132233291
2012-09-30,0.012433547036248365,0.03831054617610309,0.018598028329904186,0.014920875306019727,-0.003247267422751722,0.004799393924565537
2012-10-31,-0.015988864602177633,-0.03598836251425298,0.0018971343016699505,0.0015169452157324642,-0.006100804498253987,0.000865596337132088
2012-11-30,-0.09277584513750232,-0.09245119951353814,-0.02492682143106348,-0.12756753622379824,-0.1263752595448775,-0.10145663674886825
2012-12-31,0.152089525287429,0.1859123618967003,0.13496435446892519,0.16212997712999913,0.15962028812804702,0.1901732597655167
2013-01-31,0.052881707745678914,0.044937821701527006,0.05438641317614304,0.07593159212438391,0.06874465690683552,0.05424160688042217
2013-02-28,0.015160187154332379,0.018924566183433682,-0.01987571843428141,0.028184916316307138,0.04674843469785772,0.03589194028269982
2013-03-31,-0.05480781827828025,-0.04324661780543082,-0.0566845794141691,-0.03762387883996626,-0.021050884566576968,-0.047599714044522616
2013-04-30,-0.025546162859645453,-0.00789843228372276,-0.023566490684542377,-0.040654048486412894,-0.020810504437057953,-0.02427802539886246
2013-05-31,0.1181230267361497,0.11224066624708433,0.044925277313769524,0.14567986246370382,0.16724772132478774,0.1267636393246805
2013-06-30,-0.17210864401080328,-0.13303815368134542,-0.11314033473756699,-0.1685530752144766,-0.15479148214774374,-0.15551019119464699
2013-07-31,0.04457054523719276,0.06019796932940052,0.0061670480532849984,0.06683447676576247,0.07976102537703947,0.050658989920029714
2013-08-31,0.06471746218312789,0.039286387443666575,0.04324941578325392,0.09372400778017353,0.0739597067362197,0.0977604318386276
2013-09-30,0.09206430254859688,0.07383195916204868,0.023022538871130652,0.04248701604045462,0.058436011548366085,0.04916216194311464
2013-10-31,-0.07570239758626346,-0.06263463878167146,0.0016079784010543307,-0.04100062546340192,-0.034249885238271535,-0.004982250073532657
2013-11-30,0.06105015986211328,0.05978466088832939,0.025645504768221847,0.09243140745413075,0.09480493808015625,0.0601353361079424
2013-12-31,-0.0695667997405357,-0.036406027794300834,-0.0441418843416713,-0.05096233441076336,-0.034406156011804086,-0.012013808575638113
2014-01-31,0.026718530711448325,-0.0002449510927654621,-0.05006625687624535,0.03410754364889492,0.0410491002014971,-0.01368581626396244
2014-02-28,0.006251832382868935,-0.007442748267318483,0.004540321756023662,0.05202565394943989,0.03974412829424734,0.04017002894729892
2014-03-31,-0.061542791716196275,-0.07293831097454881,0.0023838449622759984,-0.03292067933685801,-0.04227954825098718,-0.0007125077012658332
2014-04-30,-0.02410920115337299,-0.007721950259380792,9.15800699488533e-05,-0.03281935824305609,-0.02320457990205393,-0.015131179073017994
2014-05-31,0.0322575391071099,0.007492266549919472,0.008320979052748085,0.04380586620229727,0.03145431324464562,0.008235790472657002
2014-06-30,0.019327911335603274,0.02939654415152538,0.016560480731903214,0.05490313371275456,0.0606989821154991,0.02126039791237827
2014-07-31,0.06699865302907523,0.04660336416247274,0.09378270100672621,0.08021613620814452,0.0644340323840716,0.09702423446058372
2014-08-31,0.04288643564327187,0.03412125836433031,-0.010711925023521978,0.053815379169575614,0.05142645060646316,0.0474442303256663
2014-09-30,0.11141692025445707,0.08406444001353695,0.03903397632849025,0.13429396669648488,0.12590976213535648,0.1318594582958505
2014-10-31,0.0016979790567863981,0.0005678129806027999,0.028870214532457,0.009752705987229755,0.009899507116182545,0.029219110621391126
2014-11-30,0.0643602041074474,0.03774457331141608,0.12629023973579495,0.04552676289557724,0.049562001591232197,0.06993439349018479
2014-12-31,0.044376825081308614,0.0670927576444619,0.28091604037885026,-0.0705878990248259,-0.09265387645599943,0.005233565919797534
2015-01-31,0.0405046665341762,-0.011305858354570117,-0.023665768454077536,0.08147712826405842,0.09306553184621141,0.07863025780432115
2015-02-28,0.09122746946517168,0.06920920661256523,0.015106643715081889,0.07548003308084407,0.0875075534376547,0.05304117542261652
2015-03-31,0.19161197834578034,0.1625572202164533,0.11011892322175205,0.24469823408712535,0.23399115741869791,0.24013703253896057
2015-04-30,0.20405352010161906,0.15815931465591052,0.16422744562002783,0.17396274244326496,0.14569100425663495,0.15741515909406417
2015-05-31,0.13822784493442333,0.07834265945724316,-0.019008608347163457,0.25141842690869626,0.27295468274189466,0.21267848021212324
2015-06-30,-0.11509900456264736,-0.1204122636073433,-0.013107092769393383,-0.14244243394483397,-0.1404976224998948,-0.07239411066027564
2015-07-31,-0.1913178794677083,-0.12012493855434171,-0.12296276828941748,-0.21699519403726641,-0.19316971141281702,-0.15811847270218368
2015-08-31,-0.13702942478655775,-0.16320172579798586,-0.12262698460936357,-0.14442568958922955,-0.1439138180305662,-0.13298920046230545
2015-09-30,-0.0840696033595043,-0.038883735770411876,-0.03422762195798546,-0.015732054584524587,-0.004995447737399768,-0.03402889249046107
2015-10-31,0.18107371174026446,0.1847640147277039,0.0936624916662159,0.24165739592876292,0.24790971040712445,0.19785560782826406
2015-11-30,-0.013659742094202398,0.04150819349828279,0.01872226718269236,0.10537584713192817,0.12002934241863049,0.0771678708227074
2015-12-31,0.012509785810209893,0.018311600046572542,0.033679043331546116,0.041906210556643515,0.04844189842142621,0.07450609061372725
2016-01-31,-0.297125591562013,-0.29632449913582476,-0.19713891942919262,-0.3143185980656834,-0.3170264277814704,-0.28340871507899335
2016-02-29,-0.017592073745551357,-0.018797715647654305,-0.021934904184516116,-0.03175482828615136,-0.025110354374689933,-0.020386914891998932
2016-03-31,0.1413857543501115,0.15671478924211357,0.11663170207839466,0.1922154220841698,0.20628321211487013,0.20250519642340328
2016-04-30,-0.03565964166302386,-0.037207365637805544,-0.021235506802453435,-0.018134396643086047,-0.022905409713499685,-0.0011613140529001585
2016-05-31,-0.014115438332372932,-0.005547118721078272,0.00976296169483561,-0.02327808595075713,-0.005943356105452948,0.0023237862853857823
2016-06-30,0.010101116321223248,0.03657541747225441,0.007210448626801772,0.060435980047650335,0.0809593553571221,0.0493471174299127
2016-07-31,-0.006118354720119067,-0.02120351554374407,0.04322860327892818,-0.03214187787522096,-0.029172206779055063,0.03455714018966666
2016-08-31,0.032799057284073854,0.036307449202227504,0.03489337334805561,0.05455355486875482,0.043582036078036165,0.035076008294884685
2016-09-30,-0.03833456108367025,-0.02771669695711352,-0.02144338491734805,-0.02347019827481728,-0.01819017156458509,-0.010787719072199498
2016-10-31,0.03201651021871798,0.01608474514420305,0.02277694712461337,0.04243513711069658,0.041046691339105976,0.03057948188022548
